Dia,Hora de início,Impressões
Domingo,00,4
Domingo,01,3
Domingo,02,4
Domingo,03,2
Domingo,04,1
Domingo,05,3
Domingo,06,2
Domingo,07,0
Domingo,08,3
Domingo,09,5
Domingo,10,10
Domingo,11,16
Domingo,12,8
Domingo,13,6
Domingo,14,13
Domingo,15,10
Domingo,16,16
Domingo,17,20
Domingo,18,13
Domingo,19,9
Domingo,20,14
Domingo,21,16
Domingo,22,11
Domingo,23,9
Segunda-feira,00,3
Segunda-feira,01,5
Segunda-feira,02,4
Segunda-feira,03,1
Segunda-feira,04,2
Segunda-feira,05,6
Segunda-feira,06,9
Segunda-feira,07,15
Segunda-feira,08,13
Segunda-feira,09,41
Segunda-feira,10,26
Segunda-feira,11,21
Segunda-feira,12,28
Segunda-feira,13,24
Segunda-feira,14,29
Segunda-feira,15,35
Segunda-feira,16,23
Segunda-feira,17,35
Segunda-feira,18,18
Segunda-feira,19,22
Segunda-feira,20,19
Segunda-feira,21,28
Segunda-feira,22,12
Segunda-feira,23,13
Terça-feira,00,12
Terça-feira,01,8
Terça-feira,02,5
Terça-feira,03,0
Terça-feira,04,1
Terça-feira,05,6
Terça-feira,06,5
Terça-feira,07,10
Terça-feira,08,14
Terça-feira,09,30
Terça-feira,10,21
Terça-feira,11,32
Terça-feira,12,31
Terça-feira,13,31
Terça-feira,14,32
Terça-feira,15,26
Terça-feira,16,29
Terça-feira,17,23
Terça-feira,18,22
Terça-feira,19,20
Terça-feira,20,31
Terça-feira,21,32
Terça-feira,22,13
Terça-feira,23,14
Quarta-feira,00,14
Quarta-feira,01,3
Quarta-feira,02,1
Quarta-feira,03,1
Quarta-feira,04,0
Quarta-feira,05,7
Quarta-feira,06,7
Quarta-feira,07,16
Quarta-feira,08,28
Quarta-feira,09,26
Quarta-feira,10,29
Quarta-feira,11,34
Quarta-feira,12,47
Quarta-feira,13,38
Quarta-feira,14,34
Quarta-feira,15,38
Quarta-feira,16,34
Quarta-feira,17,42
Quarta-feira,18,34
Quarta-feira,19,32
Quarta-feira,20,37
Quarta-feira,21,23
Quarta-feira,22,25
Quarta-feira,23,33
Quinta-feira,00,15
Quinta-feira,01,12
Quinta-feira,02,10
Quinta-feira,03,6
Quinta-feira,04,0
Quinta-feira,05,3
Quinta-feira,06,18
Quinta-feira,07,6
Quinta-feira,08,23
Quinta-feira,09,19
Quinta-feira,10,35
Quinta-feira,11,28
Quinta-feira,12,38
Quinta-feira,13,17
Quinta-feira,14,34
Quinta-feira,15,32
Quinta-feira,16,35
Quinta-feira,17,25
Quinta-feira,18,34
Quinta-feira,19,30
Quinta-feira,20,24
Quinta-feira,21,43
Quinta-feira,22,35
Quinta-feira,23,20
Sexta-feira,00,7
Sexta-feira,01,5
Sexta-feira,02,0
Sexta-feira,03,1
Sexta-feira,04,0
Sexta-feira,05,2
Sexta-feira,06,4
Sexta-feira,07,10
Sexta-feira,08,6
Sexta-feira,09,7
Sexta-feira,10,11
Sexta-feira,11,16
Sexta-feira,12,15
Sexta-feira,13,12
Sexta-feira,14,21
Sexta-feira,15,16
Sexta-feira,16,15
Sexta-feira,17,7
Sexta-feira,18,18
Sexta-feira,19,12
Sexta-feira,20,16
Sexta-feira,21,18
Sexta-feira,22,10
Sexta-feira,23,7
Sábado,00,3
Sábado,01,3
Sábado,02,2
Sábado,03,0
Sábado,04,2
Sábado,05,0
Sábado,06,3
Sábado,07,2
Sábado,08,5
Sábado,09,5
Sábado,10,0
Sábado,11,0
Sábado,12,0
Sábado,13,0
Sábado,14,4
Sábado,15,2
Sábado,16,5
Sábado,17,1
Sábado,18,8
Sábado,19,4
Sábado,20,5
Sábado,21,7
Sábado,22,6
Sábado,23,4
