Relatório de palavras-chave da rede de pesquisa
Todo o período
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Grupo de anúncios,Status,Motivos do status,URL final,Impr.,CTR,Código da moeda,Custo,Cliques,Taxa de conv.,Conversões,CPC méd.,Custo / conv.
Ativado,"""como passar em entrevista em inglês""",Correspondência de frase,Grupo de anúncios 1,Não qualificado,raramente exibido,,0, --,BRL,"0,00",0,"0,00%","0,00",0,"0,00"
Pausado,"""entrevista em inglês""",Correspondência de frase,Grupo de anúncios 1,Pausado,pausado; baixa qualidade,,1.601,"5,50%",BRL,"115,93",88,"2,27%","2,00","1,32","57,96"
Ativado,"""perguntas e respostas entrevista inglês""",Correspondência de frase,Grupo de anúncios 1,Qualificado,,,382,"9,16%",BRL,"44,19",35,"0,00%","0,00","1,26","0,00"
Ativado,"""preparação para entrevista em inglês""",Correspondência de frase,Grupo de anúncios 1,Qualificado,,,369,"2,17%",BRL,"9,04",8,"0,00%","0,00","1,13","0,00"
Ativado,"""dicas para entrevista em inglês""",Correspondência de frase,Grupo de anúncios 1,Qualificado,,,159,"1,89%",BRL,"2,35",3,"0,00%","0,00","0,78","0,00"
 --,,"Total: Todas as palavras-chave, exceto as removidas", --, --,,,2.511,"5,34%",BRL,"171,50",134,"1,49%","2,00","1,28","85,75"
,,Total: Palavras-chave na sua campanha,,,,,2.511,"5,34%",BRL,"171,50",134,"1,49%","2,00","1,28","85,75"
,,Total: Suas palavras-chave,,,,,2.511,"5,34%",BRL,"171,50",134,"1,49%","2,00","1,28","85,75"
,,Total: Correspondências expandidas da AI Max,,,,,0, --,BRL,"0,00",0,"0,00%","0,00",0,"0,00"
,,Total: Correspondências de páginas de destino da AI Max,,,,,0, --,BRL,"0,00",0,"0,00%","0,00",0,"0,00"
,,Total: Inclusões de URL na sua campanha,,,,,0, --,BRL,"0,00",0,"0,00%","0,00",0,"0,00"
,,Total: Campanha,,,,,2.511,"5,34%",BRL,"171,50",134,"1,49%","2,00","1,28","85,75"
