Relatório de termos de pesquisa
Todo o período
Termo de pesquisa,Tipo de corresp.,Adicionada/excluída,Grupo de anúncios,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Taxa de conv.,Conversões,Custo / conv.
perguntas para entrevista em inglês,Correspondência de frase,Nenhum,Grupo de anúncios 1,1,2,"50,00%",BRL,"1,48","1,48","0,00%","0,00","0,00"
teste em ingles para entrevista de emprego,Correspondência de frase (variação aproximada),Nenhum,Grupo de anúncios 1,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
ingles em entrevista de emprego,Correspondência de frase (variação aproximada),Nenhum,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
entrevista em ingles dicas,Correspondência de frase,Nenhum,Grupo de anúncios 1,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
como se apresentar em uma entrevista em ingles,Correspondência de frase,Nenhum,Grupo de anúncios 1,0,4,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
entrevistas de emprego em ingles,Correspondência de frase (variação aproximada),Nenhum,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dicas entrevista ingles,Correspondência de frase (variação aproximada),Nenhum,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
ingles entrevista,Correspondência de frase (variação aproximada),Nenhum,Grupo de anúncios 1,0,3,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
perguntas entrevista de emprego ingles,Correspondência de frase (variação aproximada),Nenhum,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
perguntas e respostas entrevista em ingles,Correspondência de frase (variação aproximada),Nenhum,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
entrevista por telefone em ingles,Correspondência de frase,Nenhum,Grupo de anúncios 1,0,4,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
qualidades em ingles para entrevista,Correspondência de frase,Nenhum,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
